ID,Name,RAdeg,DEdeg,gmag,e_gmag,rmag,e_rmag,C3_6,Gmag,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Noise,EBPRP,ur0,rz0,LC3_6,Lpm,Lplx,LNoise,LEx,Lcol,TotL,Rank,Conf,Ref,valid_gr,g_r,color,radius_arcmin,log_radius
37925,,198.964895,-43.980741,21.639999,0.02,20.93,0.02,1.6,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.945639,999.0,999.0,999.0,999.0,999.0,0.9456,copper,n,,True,0.7099989999999998,0.7099989999999998,119.3311348453309,2.076753770806867
38106,,198.969112,-44.101087,21.200001,0.01,20.83,0.02,2.07,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.980853,999.0,999.0,999.0,999.0,999.0,0.9809,bronze,n,,True,0.370001000000002,0.370001000000002,122.7398918404287,2.0889857362436137
38178,,198.970609,-43.94401,21.780001,0.02,20.99,0.02,1.07,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.858136,999.0,999.0,999.0,999.0,999.0,0.8581,copper,n,,True,0.7900010000000002,0.7900010000000002,118.09001817513793,2.072213189445295
38237,,198.971905,-43.935062,21.76,0.02,21.129999,0.02,9.28,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.630001,0.630001,117.79566850291172,2.071129321182242
38241,,198.97195,-44.146626,21.610001,0.02,21.1,0.02,1.95,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.974634,999.0,999.0,999.0,999.0,999.0,0.9746,copper,n,,True,0.510000999999999,0.510000999999999,124.06988052991223,2.093666364034747
38269,,198.972509,-44.038033,21.790001,0.02,21.17,0.02,1.19,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.884559,999.0,999.0,999.0,999.0,999.0,0.8846,copper,n,,True,0.6200009999999985,0.6200009999999985,120.70170303013198,2.081713397780622
38277,,198.972694,-43.066626,21.85,0.03,21.290001,0.04,11.21,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.5599990000000012,0.5599990000000012,104.94362009038288,2.0209560413580343
38480,,198.977222,-43.976585,21.959999,0.03,21.32,0.03,1.23,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.890998,999.0,999.0,999.0,999.0,999.0,0.891,copper,n,,True,0.6399989999999995,0.6399989999999995,118.74418679138358,2.0746123576129367
38518,,198.978267,-44.007333,21.719999,0.02,21.08,0.02,2.17,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.985301,999.0,999.0,999.0,999.0,999.0,0.9853,bronze,n,,True,0.6399990000000031,0.6399990000000031,119.5849171013932,2.0776764068036346
38787,,198.984562,-43.951625,21.780001,0.02,21.15,0.02,12.41,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.630001,0.630001,117.76481247311808,2.0710155448519005
38853,,198.98595,-44.047849,21.83,0.02,21.360001,0.03,1.79,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.964046,999.0,999.0,999.0,999.0,999.0,0.964,copper,n,,True,0.4699989999999978,0.46999899999999784,120.49129671491076,2.080955678237065
39051,,198.990362,-43.211544,21.969999,0.03,20.98,0.02,14.61,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.989999000000001,0.989999000000001,104.64593169178212,2.019722348984749
39180,,198.992855,-44.146398,21.450001,0.01,20.799999,0.01,1.58,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.943197,999.0,999.0,999.0,999.0,999.0,0.9432,copper,n,,True,0.6500020000000006,0.6500020000000006,123.30202694846429,2.090970215973652
